Name;Type;Freq;Lat;Long;Mag Var
BVT;NDB;341 KHz;160803.39N;0225317.06W;11W
CVS;VOR/DME;115.30 MHz;164412.03N;0225703.67W;10W
SNT;VOR/DME;116.60 MHz;145620.74N;0232855.64W;11W
SVT;NDB;333 KHz;164944.96N;0250352.85W;11W
